"Meno";"Disciplina";"Zlato";"Striebro";"Bronz";"Rok";"Miesto";"Typ"
"Michal Martikán";"vodný slalom";"1";"0";"0";"1996";"Atlanta";"LOH"
"Slavomír Knazovický";"kanoistika";"0";"1";"0";"1996";"Atlanta";"LOH"
"Jozef Gönci";"športová strelba";"0";"0";"1";"1996";"Atlanta";"LOH"
"Peter a Pavol Hochschornerovci";"vodný slalom";"1";"0";"0";"2000";"Sydney";"LOH"
"Martina Moravcová";"plávanie";"0";"1";"0";"2000";"Sydney";"LOH"
"Martina Moravcová";"plávanie";"0";"1";"0";"2000";"Sydney";"LOH"
"Michal Martikán";"vodný slalom";"0";"1";"0";"2000";"Sydney";"LOH"
"Juraj Mincík";"vodný slalom";"0";"0";"1";"2000";"Sydney";"LOH"
"Peter a Pavol Hochschornerovci";"vodný slalom";"1";"0";"0";"2004";"Atény";"LOH"
"Elena Kaliská";"vodný slalom";"1";"0";"0";"2004";"Atény";"LOH"
"Michal Martikán";"vodný slalom";"0";"1";"0";"2004";"Atény";"LOH"
"Jozef Krnác";"džudo";"0";"1";"0";"2004";"Atény";"LOH"
"Jozef Gönci";"športová strelba";"0";"0";"1";"2004";"Atény";"LOH"
"Juraj Baca, Michal Riszdorfer, Richard Riszdorfer, Erik Vlcek";"kanoistika";"0";"0";"1";"2004";"Atény";"LOH"
"Peter a Pavol Hochschornerovci";"vodný slalom";"1";"0";"0";"2008";"Peking";"LOH"
"Michal Martikán";"vodný slalom";"1";"0";"0";"2008";"Peking";"LOH"
"Elena Kaliská";"vodný slalom";"1";"0";"0";"2008";"Peking";"LOH"
"Zuzana Štefeceková";"športová strelba";"0";"1";"0";"2008";"Peking";"LOH"
"Michal Riszdorfer, Richard Riszdorfer, Erik Vlcek, Juraj Tarr";"kanoistika";"0";"1";"0";"2008";"Peking";"LOH"
"David Musulbes";"zápasenie";"0";"1";"0";"2008";"Peking";"LOH"
"Zuzana Štefeceková";"športová strelba";"0";"1";"0";"2012";"Londýn";"LOH"
"Peter a Pavol Hochschornerovci";"vodný slalom";"0";"0";"1";"2012";"Londýn";"LOH"
"Michal Martikán";"vodný slalom";"0";"0";"1";"2012";"Londýn";"LOH"
"Danka Barteková";"športová strelba";"0";"0";"1";"2012";"Londýn";"LOH"
"Matej Tóth";"chôdza na 50 km";"1";"0";"0";"2016";"Rio";"LOH"
"Ladislav a Peter Škantárovci";"vodný slalom";"1";"0";"0";"2016";"Rio";"LOH"
"Matej Benuš";"vodný slalom";"0";"1";"0";"2016";"Rio";"LOH"
"Erik Vlcek, Juraj Tarr, Denis Myšák, Tibor Linka";"kanoistika";"0";"1";"0";"2016";"Rio";"LOH"
"Zuzana Rehák-Štefeceková";"športová strelba";"1";"0";"0";"2021";"Tokio";"LOH"
"Jakub Grigar";"vodný slalom";"0";"1";"0";"2021";"Tokio";"LOH"
"Rory Sabbatini";"golf";"0";"1";"0";"2021";"Tokio";"LOH"
"Samuel Baláž, Denis Myšák, Erik Vlcek, Adam Botek";"kanoistika";"0";"0";"1";"2021";"Tokio";"LOH"
"Radoslav Židek";"snowboarding";"0";"1";"0";"2006";"Turín";"ZOH"
"Anastasia Kuzminová";"biatlon";"1";"0";"0";"2010";"Vancouver";"ZOH"
"Anastasia Kuzminová";"biatlon";"0";"1";"0";"2010";"Vancouver";"ZOH"
"Pavol Hurajt";"biatlon";"0";"0";"1";"2010";"Vancouver";"ZOH"
"Anastasia Kuzminová";"biatlon";"1";"0";"0";"2014";"Soci";"ZOH"
"Anastasia Kuzminová";"biatlon";"1";"0";"0";"2018";"Pjongcchang";"ZOH"
"Anastasia Kuzminová";"biatlon";"0";"1";"0";"2018";"Pjongcchang";"ZOH"
"Anastasia Kuzminová";"biatlon";"0";"1";"0";"2018";"Pjongcchang";"ZOH"
"Petra Vlhová";"alpské lyžovanie";"1";"0";"0";"2022";"Peking";"ZOH"
"Slovenské národné hokejové mužstvo";"hokej";"0";"0";"1";"2022";"Peking";"ZOH"
"Rok";"Miesto";"Typ"
"1996";"Atlanta";"LOH"
"1996";"Atlanta";"LOH"
"1996";"Atlanta";"LOH"
"2000";"Sydney";"LOH"
"2000";"Sydney";"LOH"
"2000";"Sydney";"LOH"
"2000";"Sydney";"LOH"
"2000";"Sydney";"LOH"
"2004";"Atény";"LOH"
"2004";"Atény";"LOH"
"2004";"Atény";"LOH"
"2004";"Atény";"LOH"
"2004";"Atény";"LOH"
"2004";"Atény";"LOH"
"2008";"Peking";"LOH"
"2008";"Peking";"LOH"
"2008";"Peking";"LOH"
"2008";"Peking";"LOH"
"2008";"Peking";"LOH"
"2008";"Peking";"LOH"
"2012";"Londýn";"LOH"
"2012";"Londýn";"LOH"
"2012";"Londýn";"LOH"
"2012";"Londýn";"LOH"
"2016";"Rio";"LOH"
"2016";"Rio";"LOH"
"2016";"Rio";"LOH"
"2016";"Rio";"LOH"
"2021";"Tokio";"LOH"
"2021";"Tokio";"LOH"
"2021";"Tokio";"LOH"
"2021";"Tokio";"LOH"
"2006";"Turín";"ZOH"
"2010";"Vancouver";"ZOH"
"2010";"Vancouver";"ZOH"
"2010";"Vancouver";"ZOH"
"2014";"Soci";"ZOH"
"2018";"Pjongcchang";"ZOH"
"2018";"Pjongcchang";"ZOH"
"2018";"Pjongcchang";"ZOH"
"2022";"Peking";"ZOH"
"2022";"Peking";"ZOH"
"Zlato";"Striebro";"Bronz"
"1";"0";"0"
"0";"1";"0"
"0";"0";"1"
"1";"0";"0"
"0";"1";"0"
"0";"1";"0"
"0";"1";"0"
"0";"0";"1"
"1";"0";"0"
"1";"0";"0"
"0";"1";"0"
"0";"1";"0"
"0";"0";"1"
"0";"0";"1"
"1";"0";"0"
"1";"0";"0"
"1";"0";"0"
"0";"1";"0"
"0";"1";"0"
"0";"1";"0"
"0";"1";"0"
"0";"0";"1"
"0";"0";"1"
"0";"0";"1"
"1";"0";"0"
"1";"0";"0"
"0";"1";"0"
"0";"1";"0"
"1";"0";"0"
"0";"1";"0"
"0";"1";"0"
"0";"0";"1"
"0";"1";"0"
"1";"0";"0"
"0";"1";"0"
"0";"0";"1"
"1";"0";"0"
"1";"0";"0"
"0";"1";"0"
"0";"1";"0"
"1";"0";"0"
"0";"0";"1"
"id";"username";"password";"created_at"
"1";"Miro_Skatula";"$2y$10$l70frx41kd1pL3K9QJ7jzOK4eo05c1zbkG1GLGo6xZdxsSYChP5J6";"2022-12-19 00:26:47"
"Meno";"Disciplina"
"Michal Martikán";"vodný slalom"
"Slavomír Knazovický";"kanoistika"
"Jozef Gönci";"športová strelba"
"Peter a Pavol Hochschornerovci";"vodný slalom"
"Martina Moravcová";"plávanie"
"Martina Moravcová";"plávanie"
"Michal Martikán";"vodný slalom"
"Juraj Mincík";"vodný slalom"
"Peter a Pavol Hochschornerovci";"vodný slalom"
"Elena Kaliská";"vodný slalom"
"Michal Martikán";"vodný slalom"
"Jozef Krnác";"džudo"
"Jozef Gönci";"športová strelba"
"Juraj Baca, Michal Riszdorfer, Richard Riszdorfer, Erik Vlcek";"kanoistika"
"Peter a Pavol Hochschornerovci";"vodný slalom"
"Michal Martikán";"vodný slalom"
"Elena Kaliská";"vodný slalom"
"Zuzana Štefeceková";"športová strelba"
"Michal Riszdorfer, Richard Riszdorfer, Erik Vlcek, Juraj Tarr";"kanoistika"
"David Musulbes";"zápasenie"
"Zuzana Štefeceková";"športová strelba"
"Peter a Pavol Hochschornerovci";"vodný slalom"
"Michal Martikán";"vodný slalom"
"Danka Barteková";"športová strelba"
"Matej Tóth";"chôdza na 50 km"
"Ladislav a Peter Škantárovci";"vodný slalom"
"Matej Benuš";"vodný slalom"
"Erik Vlcek, Juraj Tarr, Denis Myšák, Tibor Linka";"kanoistika"
"Zuzana Rehák-Štefeceková";"športová strelba"
"Jakub Grigar";"vodný slalom"
"Rory Sabbatini";"golf"
"Samuel Baláž, Denis Myšák, Erik Vlcek, Adam Botek";"kanoistika"
"Radoslav Židek";"snoubording"
"Anastasia Kuzminová";"biatlon"
"Anastasia Kuzminová";"biatlon"
"Pavol Hurajt";"biatlon"
"Anastasia Kuzminová";"biatlon"
"Anastasia Kuzminová";"biatlon"
"Anastasia Kuzminová";"biatlon"
"Anastasia Kuzminová";"biatlon"
"Petra Vlhová";"alpské lyžovanie"
"Slovenské národné hokejové mužstvo";"hokej"
